County,id,PCNs_not,PCNs_inprog,PCNs_complete,SBA,ANCNEW,FBNDR,U1VAX,MMR,FBPMR,ANC4,ORSZ
Baringo,14,3,1,3,73.2,1594,8.9,68.7,68.4,21.8,45.4,36.5
Bomet,31,4,0,1,59.3,1202,4.3,67.3,105.8,28.3,31.6,61
Bungoma,7,8,1,1,92.5,3920,9.6,79.8,61.5,17,52,64.4
Busia,15,3,1,3,76.4,1948,7.2,82.4,63.1,26.1,59.9,75.9
Elgeyo Marakwet,40,0,1,3,55.7,765,5.4,51.9,97.8,28.8,21.9,65.4
Embu,32,0,0,5,78.3,921,16.4,87.4,95.6,34.3,58.3,58.8
Garissa,16,0,0,7,42.1,1484,12.6,53.1,124.5,59.7,36.5,13.6
Homa Bay,8,7,0,2,75,2633,9.6,57.2,189.3,16.6,40.9,74.4
Isiolo,43,2,0,1,37.8,238,5,99.1,235.8,19.8,89.5,35.6
Kajiado,33,0,0,5,63.9,3048,6,70.5,37.7,12.7,37.8,39.5
Kakamega,2,0,0,12,80.5,4318,8.5,82.1,45,97.7,62.9,89.6
Kericho,21,0,0,6,81.6,1583,17.2,63.5,50.8,28.2,42,68.7
Kiambu,3,10,0,2,71.7,4582,6.4,61,49.9,16.1,67.7,
Kilifi,17,0,3,4,67.1,3099,4.8,77.4,63.4,22.1,46.3,76.1
Kirinyaga,34,3,0,2,111.4,1039,18.6,91.2,77.3,23,67.6,79.3
Kisii,9,7,1,1,83.5,2398,5.6,83.7,105.4,10,51.1,43.1
Kisumu,18,0,2,5,80.6,2708,13,78.2,137.3,29.7,72,80.3
Kitui,11,6,0,2,56.6,2118,5.1,68.5,60.5,14.6,44.8,
Kwale,35,3,1,1,59.6,2423,6.5,79.6,54.1,22.5,50.8,89.8
Laikipia,44,0,0,3,69.2,695,17.2,71.1,97.8,33.7,30.4,64.5
Lamu,45,0,0,3,43.3,173,10.2,68.1,219.3,6,55,18.1
Machakos,10,7,1,1,67.9,1512,5.3,60.8,100.6,21.4,43.6,48.1
Makueni,22,0,0,6,98.8,1854,4.9,93,57.2,12.2,71.1,73.6
Mandera,19,7,0,0,55.2,876,1.4,69.5,144,21.5,30.7,14.7
Marsabit,41,3,0,1,,1012,11.2,81.4,9.7,22.1,40.8,41.6
Meru,4,11,0,0,51.7,2345,9.4,71.8,53.2,16.6,29.7,41.8
Migori,12,5,1,2,94.8,3498,0.9,85.2,109.1,17.8,56.7,60.8
Mombasa,23,2,4,0,66.5,2878,23.2,96,177,31.5,52.6,27.3
Muranga,20,0,0,7,75.5,2016,5.3,78.2,66,17,53.4,53
Nairobi,1,14,1,2,67.9,10979,4.5,74.1,195.8,24.6,65,61.9
Nakuru,5,0,0,11,85.6,5425,13.7,80.7,38.4,29.9,62.6,82.1
Nandi,24,4,2,0,57,1379,15.4,69.4,80.1,23.4,38.5,34.6
Narok,25,5,0,1,51.3,2340,64,86.7,139.6,70,34.8,78.1
Nyamira,36,0,3,2,71.7,1389,2.3,81.3,146.2,13.4,68,55.5
Nyandarua,37,0,0,5,68.3,903,7.3,84.5,110.7,7.2,44.5,85.3
Nyeri,13,0,0,8,82.4,1244,12.7,68.4,80.6,24,42.8,61.3
Samburu,46,0,2,1,54.7,957,16.5,65.7,327.3,22.2,31.8,48.6
Siaya,26,4,0,2,,2173,5.5,72.2,70,55.8,68.8,40.9
Taita Taveta,42,0,3,1,84.4,653,4.4,77.6,127.4,34.7,65.4,73.1
Tana River,47,3,0,0,35.6,666,12.3,64.6,502.5,27.2,22.2,28.1
Tharaka Nithi,27,0,0,6,60.1,624,10.3,74.2,144.3,18.3,56.9,71.2
Trans Nzoia,38,0,0,5,84.8,2012,40,85.5,128.4,61.8,62.1,80.2
Turkana,6,4,0,7,63,3217,9.2,70.8,43.7,18.7,44.8,46.5
Uasin Gishu,28,0,5,1,51.4,1502,4.1,65.1,77.6,53.7,40.3,63.2
Vihiga,39,0,0,5,74.7,1067,14.7,80.7,85.6,23.1,62,80.1
Wajir,29,4,2,0,29.8,877,1.5,59.7,155,30.9,27,
West Pokot,30,2,0,4,70.3,2087,4.1,88.2,53.6,26.6,26.8,19.1
