County,,Total,Male,Female,SQ.Km,Pop density
Mombasa,CHANGAMWE,131882.00,68761.00,63121.00,18.00,7457.00
Mombasa,JOMVU,163415.00,83002.00,80410.00,37.00,4432.00
Mombasa,KISAUNI,291930.00,146748.00,145176.00,88.00,3328.00
Mombasa,LIKONI,250358.00,126962.00,123392.00,40.00,6187.00
Mombasa,MVITA,154171.00,75565.00,78601.00,15.00,10543.00
Mombasa,NYALI,216577.00,109219.00,107346.00,23.00,9610.00
Kwale,KINANGO,94220.00,45413.00,48806.00,1612.00,58.00
Kwale,LUNGA LUNGA,198423.00,97174.00,101245.00,2765.00,72.00
Kwale,MATUGA,194252.00,95831.00,98419.00,1034.00,188.00
Kwale,MSAMBWENI,177690.00,89206.00,88480.00,412.00,432.00
Kwale,SAMBURU,202235.00,97497.00,104731.00,2430.00,83.00
Kilifi,CHONYI,62335.00,29527.00,32807.00,193.00,324.00
Kilifi,GANZE,143906.00,66921.00,76981.00,3218.00,45.00
Kilifi,KALOLENI,193682.00,92614.00,101063.00,706.00,274.00
Kilifi,KAUMA,22638.00,10965.00,11673.00,181.00,125.00
Kilifi,KILIFI NORTH,178824.00,86986.00,91836.00,264.00,676.00
Kilifi,KILIFI SOUTH,206753.00,101852.00,104897.00,290.00,712.00
Kilifi,MAGARINI,191610.00,93302.00,98308.00,5229.00,37.00
Kilifi,MALINDI,333226.00,163351.00,169866.00,2263.00,147.00
Kilifi,RABAI,120813.00,58571.00,62242.00,208.00,581.00
Tana River,TANA DELTA,110640.00,55716.00,54924.00,15432.00,7.00
Tana River,TANA NORTH,116757.00,59123.00,57632.00,13305.00,9.00
Tana River,TANA RIVER,88546.00,43711.00,44835.00,9167.00,10.00
Lamu,LAMU EAST,22258.00,11675.00,10583.00,2338.00,10.00
Lamu,LAMU WEST,121662.00,64428.00,57230.00,3945.00,31.00
Taita Taveta,MWATATE,81659.00,41426.00,40231.00,2723.00,30.00
Taita Taveta,TAITA,55959.00,28386.00,27573.00,478.00,117.00
Taita Taveta,TAVETA,91222.00,47410.00,43812.00,6399.00,14.00
Taita Taveta,VOI,111831.00,56115.00,55711.00,7553.00,15.00
Garissa,BALAMBALA,32257.00,20277.00,11979.00,3684.00,9.00
Garissa,DADAAB,185252.00,99059.00,86185.00,6415.00,29.00
Garissa,FAFI,134040.00,72617.00,61413.00,15050.00,9.00
Garissa,GARISSA,163914.00,83460.00,80449.00,3318.00,49.00
Garissa,HULUGHO,133984.00,78081.00,55898.00,7737.00,17.00
Garissa,IJARA,141591.00,80458.00,61129.00,2453.00,58.00
Garissa,LAGDERA,50315.00,25023.00,25291.00,6096.00,8.00
Wajir,BUNA,49886.00,26796.00,23088.00,3888.00,13.00
Wajir,ELDAS,89104.00,45028.00,44069.00,4492.00,20.00
Wajir,HABASWEIN,174134.00,94613.00,79505.00,10912.00,16.00
Wajir,TARBAJ,56637.00,26856.00,29776.00,9608.00,6.00
Wajir,WAJIR EAST,110654.00,59359.00,51292.00,4053.00,27.00
Wajir,WAJIR NORTH,62206.00,31990.00,30209.00,4042.00,15.00
Wajir,WAJIR SOUTH,116814.00,64947.00,51864.00,10734.00,11.00
Wajir,WAJIR WEST,121828.00,65785.00,56037.00,9044.00,13.00
Mandera,MANDERA WEST,98300.00,48166.00,50130.00,4018.00,24.00
Mandera,BANISA,152598.00,78301.00,74288.00,3944.00,39.00
Mandera,KOTULO,72394.00,35799.00,36593.00,2509.00,29.00
Mandera,LAFEY,83457.00,40476.00,42976.00,3795.00,22.00
Mandera,MANDERA  CENTRAL,157220.00,71688.00,85527.00,4032.00,39.00
Mandera,MANDERA EAST,159638.00,83538.00,76095.00,2506.00,64.00
Mandera,MANDERA NORTH,143850.00,77008.00,66835.00,5138.00,28.00
Marsabit,LOIYANGALANI,35713.00,17659.00,18051.00,11789.00,3.00
Marsabit,MARSABIT  CENTRAL,79181.00,40956.00,38214.00,2143.00,37.00
Marsabit,MARSABIT NORTH,54297.00,30091.00,24205.00,19837.00,3.00
Marsabit,MARSABIT SOUTH,65376.00,33215.00,32161.00,8447.00,8.00
Marsabit,MOYALE,108949.00,56440.00,52508.00,3327.00,33.00
Marsabit,NORTH HORR,71447.00,41719.00,29726.00,19337.00,4.00
Marsabit,SOLOLO,44822.00,23468.00,21354.00,6064.00,7.00
Isiolo,GARBATULLA,99730.00,54661.00,45068.00,9902.00,10.00
Isiolo,ISIOLO,121066.00,60414.00,60647.00,2691.00,45.00
Isiolo,MERTI,47206.00,24435.00,22768.00,12756.00,4.00
Meru,BUURI EAST,76598.00,38101.00,38497.00,333.00,230.00
